starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	18
Mon Jul 21 21:20:56 2025	1753129256	0	21	21	21
Mon Jul 21 21:20:55 2025	1753129255	1	20	21	16
Mon Jul 21 21:20:54 2025	1753129254	2	19	21	18
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	21
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	21
Mon Jul 21 21:20:56 2025	1753129256	0	21	21	20
Mon Jul 21 21:20:54 2025	1753129254	1	21	21	21
Mon Jul 21 21:20:54 2025	1753129254	0	21	21	20
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	17
Mon Jul 21 21:20:56 2025	1753129256	0	21	21	13
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	8
Mon Jul 21 21:20:56 2025	1753129256	0	21	21	19
Mon Jul 21 21:20:56 2025	1753129256	0	21	21	18
Mon Jul 21 21:20:55 2025	1753129255	2	20	21	17
Mon Jul 21 21:20:54 2025	1753129254	0	21	21	20
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	20
Mon Jul 21 21:20:55 2025	1753129255	1	20	21	18
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	21
Mon Jul 21 21:20:55 2025	1753129255	4	17	22	14
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	17
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	18
Mon Jul 21 21:20:55 2025	1753129255	2	20	22	18
Mon Jul 21 21:20:55 2025	1753129255	1	21	22	18
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	19
Mon Jul 21 21:20:56 2025	1753129256	1	20	22	19
Mon Jul 21 21:20:56 2025	1753129256	3	19	22	17
Mon Jul 21 21:20:54 2025	1753129254	3	19	22	17
Mon Jul 21 21:20:55 2025	1753129255	1	21	22	18
Mon Jul 21 21:20:56 2025	1753129256	1	21	22	16
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	20
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	22
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	16
Mon Jul 21 21:20:55 2025	1753129255	2	20	22	11
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	20
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	20
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	19
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	20
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	14
Mon Jul 21 21:20:54 2025	1753129254	1	21	22	16
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	21
Mon Jul 21 21:20:54 2025	1753129254	2	20	22	15
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	19
Mon Jul 21 21:20:55 2025	1753129255	1	21	22	18
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	22
Mon Jul 21 21:20:54 2025	1753129254	1	21	22	16
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	16
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	22
Mon Jul 21 21:20:54 2025	1753129254	0	22	22	18
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	12
Mon Jul 21 21:20:56 2025	1753129256	0	22	22	20
Mon Jul 21 21:20:54 2025	1753129254	1	22	22	17
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	22
Mon Jul 21 21:20:54 2025	1753129254	2	20	22	15
Mon Jul 21 21:20:55 2025	1753129255	0	22	22	20
Mon Jul 21 21:20:56 2025	1753129256	0	22	23	22
Mon Jul 21 21:20:54 2025	1753129254	1	22	23	20
Mon Jul 21 21:20:56 2025	1753129256	1	21	23	21
Mon Jul 21 21:20:54 2025	1753129254	2	21	23	20
Mon Jul 21 21:20:54 2025	1753129254	1	22	23	20
Mon Jul 21 21:20:56 2025	1753129256	0	23	23	22
Mon Jul 21 21:20:55 2025	1753129255	1	21	23	18
Mon Jul 21 21:20:54 2025	1753129254	2	21	23	20
Mon Jul 21 21:20:54 2025	1753129254	0	23	23	22
Mon Jul 21 21:20:56 2025	1753129256	1	22	23	16
Mon Jul 21 21:20:56 2025	1753129256	0	23	23	23
Mon Jul 21 21:20:54 2025	1753129254	0	23	23	22
Mon Jul 21 21:20:56 2025	1753129256	3	20	23	19
Mon Jul 21 21:20:54 2025	1753129254	1	22	23	15
Mon Jul 21 21:20:55 2025	1753129255	0	23	23	23
Mon Jul 21 21:20:56 2025	1753129256	0	23	23	18
Mon Jul 21 21:20:55 2025	1753129255	0	23	23	15
Mon Jul 21 21:20:54 2025	1753129254	3	21	23	20
Mon Jul 21 21:20:56 2025	1753129256	0	23	23	19
Mon Jul 21 21:20:56 2025	1753129256	3	20	23	18
Mon Jul 21 21:20:56 2025	1753129256	3	20	23	20
Mon Jul 21 21:20:55 2025	1753129255	1	22	23	22
Mon Jul 21 21:20:55 2025	1753129255	1	22	23	19
Mon Jul 21 21:20:54 2025	1753129254	0	23	23	9
Mon Jul 21 21:20:54 2025	1753129254	1	23	23	22
Mon Jul 21 21:20:54 2025	1753129254	0	23	23	19
Mon Jul 21 21:20:55 2025	1753129255	3	20	23	19
Mon Jul 21 21:20:54 2025	1753129254	1	22	23	21
Mon Jul 21 21:20:55 2025	1753129255	0	23	23	13
Mon Jul 21 21:20:55 2025	1753129255	0	23	23	21
Mon Jul 21 21:20:54 2025	1753129254	0	23	24	18
Mon Jul 21 21:20:55 2025	1753129255	0	23	24	20
Mon Jul 21 21:20:56 2025	1753129256	1	23	24	15
Mon Jul 21 21:20:56 2025	1753129256	0	23	24	19
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	17
Mon Jul 21 21:20:56 2025	1753129256	1	23	24	20
Mon Jul 21 21:20:56 2025	1753129256	1	23	24	17
Mon Jul 21 21:20:55 2025	1753129255	1	23	24	19
Mon Jul 21 21:20:56 2025	1753129256	1	23	24	18
Mon Jul 21 21:20:55 2025	1753129255	0	23	24	21
Mon Jul 21 21:20:54 2025	1753129254	1	23	24	20
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	19
Mon Jul 21 21:20:54 2025	1753129254	0	24	24	20
Mon Jul 21 21:20:54 2025	1753129254	2	22	24	15
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	22
Mon Jul 21 21:20:54 2025	1753129254	0	24	24	17
Mon Jul 21 21:20:56 2025	1753129256	4	20	24	20
Mon Jul 21 21:20:54 2025	1753129254	0	24	24	16
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	22
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	17
Mon Jul 21 21:20:55 2025	1753129255	0	24	24	23
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	24
Mon Jul 21 21:20:55 2025	1753129255	2	22	24	20
Mon Jul 21 21:20:55 2025	1753129255	1	23	24	14
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	24
Mon Jul 21 21:20:54 2025	1753129254	1	23	24	20
Mon Jul 21 21:20:55 2025	1753129255	4	20	24	20
Mon Jul 21 21:20:55 2025	1753129255	1	24	24	22
Mon Jul 21 21:20:55 2025	1753129255	1	24	24	22
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	24
Mon Jul 21 21:20:56 2025	1753129256	0	24	24	24
