starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	17	300	318	300
Mon Jul 21 21:05:22 2025	1753128322	62	257	319	256
Mon Jul 21 21:05:21 2025	1753128321	30	291	321	291
Mon Jul 21 21:05:21 2025	1753128321	30	292	322	291
Mon Jul 21 21:05:21 2025	1753128321	30	292	322	291
Mon Jul 21 21:05:21 2025	1753128321	30	294	324	294
Mon Jul 21 21:05:22 2025	1753128322	31	293	324	293
Mon Jul 21 21:05:21 2025	1753128321	18	306	324	306
Mon Jul 21 21:05:21 2025	1753128321	17	308	325	307
Mon Jul 21 21:05:21 2025	1753128321	17	308	325	307
Mon Jul 21 21:05:21 2025	1753128321	12	314	327	313
Mon Jul 21 21:05:22 2025	1753128322	212	118	330	117
Mon Jul 21 21:05:21 2025	1753128321	13	317	330	314
Mon Jul 21 21:05:21 2025	1753128321	13	317	330	314
Mon Jul 21 21:05:22 2025	1753128322	212	118	330	115
Mon Jul 21 21:05:21 2025	1753128321	31	302	333	300
Mon Jul 21 21:05:22 2025	1753128322	212	122	333	121
Mon Jul 21 21:05:21 2025	1753128321	17	316	334	314
Mon Jul 21 21:05:21 2025	1753128321	30	304	335	300
Mon Jul 21 21:05:21 2025	1753128321	18	318	336	315
Mon Jul 21 21:05:21 2025	1753128321	18	318	336	314
Mon Jul 21 21:05:22 2025	1753128322	91	251	341	250
Mon Jul 21 21:05:22 2025	1753128322	90	251	341	248
Mon Jul 21 21:05:22 2025	1753128322	91	251	342	248
Mon Jul 21 21:05:21 2025	1753128321	30	314	344	306
Mon Jul 21 21:05:22 2025	1753128322	159	188	346	187
Mon Jul 21 21:05:21 2025	1753128321	18	330	347	131
Mon Jul 21 21:05:21 2025	1753128321	18	329	348	321
Mon Jul 21 21:05:21 2025	1753128321	19	330	349	132
Mon Jul 21 21:05:21 2025	1753128321	30	324	354	323
Mon Jul 21 21:05:21 2025	1753128321	31	324	355	323
Mon Jul 21 21:05:21 2025	1753128321	31	324	355	323
Mon Jul 21 21:05:21 2025	1753128321	31	325	355	324
Mon Jul 21 21:05:21 2025	1753128321	31	325	356	325
Mon Jul 21 21:05:22 2025	1753128322	0	356	356	352
Mon Jul 21 21:05:21 2025	1753128321	31	327	358	326
Mon Jul 21 21:05:21 2025	1753128321	31	331	362	330
Mon Jul 21 21:05:21 2025	1753128321	15	347	362	346
Mon Jul 21 21:05:21 2025	1753128321	31	334	364	332
Mon Jul 21 21:05:21 2025	1753128321	13	354	366	341
Mon Jul 21 21:05:21 2025	1753128321	18	349	367	347
Mon Jul 21 21:05:21 2025	1753128321	31	337	367	330
Mon Jul 21 21:05:21 2025	1753128321	18	350	367	348
Mon Jul 21 21:05:21 2025	1753128321	19	349	368	347
Mon Jul 21 21:05:22 2025	1753128322	0	368	368	367
Mon Jul 21 21:05:22 2025	1753128322	31	339	369	336
Mon Jul 21 21:05:21 2025	1753128321	31	339	370	327
Mon Jul 21 21:05:22 2025	1753128322	121	250	370	244
Mon Jul 21 21:05:21 2025	1753128321	31	339	370	338
Mon Jul 21 21:05:21 2025	1753128321	30	341	372	338
Mon Jul 21 21:05:21 2025	1753128321	17	357	374	353
Mon Jul 21 21:05:21 2025	1753128321	18	357	375	354
Mon Jul 21 21:05:22 2025	1753128322	62	314	376	314
